Counter,Date,Price,Open,High,Low,Vol.,Change %
118,Feb.12,594.48,545.59,612.67,545.59,-,8.52%
117,Mar.12,602.62,597.06,604.79,581.24,-,1.37%
116,Apr.12,631.77,602.66,631.84,601.87,-,4.84%
115,May.12,605,633.88,636.22,601.02,-,-4.24%
114,Jun.12,623.26,609.87,625.16,597.12,-,3.02%
113,Jul.12,648.19,625.42,648.22,620.08,-,4.00%
112,Aug.12,677.97,648.48,688.58,643.32,-,4.59%
111,Sep.12,668.21,677.41,680.65,666.08,-,-1.44%
110,Oct.12,675.7,668.14,681.83,662.03,-,1.12%
109,Nov.12,685.12,674.04,696.71,668.23,-,1.39%
108,Dec.12,734.2,686.1,736.95,677.68,-,7.16%
107,Jan.13,770.82,739.3,777.12,739.3,-,4.99%
106,Feb.13,764.12,770.91,775.57,748.63,-,-0.87%
105,Mar.13,838.2,769.53,842.16,765.42,-,9.69%
104,Apr.13,829.95,836.91,842.05,808.3,-,-0.98%
103,May.13,806.54,828.53,831.75,796.29,-,-2.82%
102,Jun.13,812.73,811.86,824.64,804.68,-,0.77%
101,Jul.13,839.56,813.72,845.56,808.31,-,3.30%
100,Aug.13,840.56,841.48,852.3,836.43,-,0.12%
99,Sep.13,836.51,839.81,839.81,813.71,-,-0.48%
98,Oct.13,842.15,836.91,846.02,830.41,-,0.67%
97,Nov.13,841.59,842.29,855.25,829.82,-,-0.07%
96,Dec.13,817.72,843.33,844.19,796.14,-,-2.84%
95,Jan.14,832.45,821.41,842.97,821.41,-,1.80%
94,Feb.14,824.49,834.24,836.36,821.35,-,-0.96%
93,Mar.14,796.54,820.28,820.28,772,-,-3.39%
92,Apr.14,790.49,796.68,807.55,786.65,-,-0.76%
91,May.14,798.68,790.33,798.68,773.09,-,1.04%
90,Jun.14,802.26,795.36,807.32,787.79,-,0.45%
89,Jul.14,792.02,802.18,808.93,790.22,-,-1.28%
88,Aug.14,777.98,791.58,792.98,753.27,-,-1.77%
87,Sep.14,765.22,779.7,781.76,757.47,-,-1.64%
86,Oct.14,759.89,767.03,768.42,729.02,-,-0.70%
85,Nov.14,776.09,761.41,777.96,753.29,-,2.13%
84,Dec.14,755.05,774.3,784.58,749.22,-,-2.71%
83,Jan.15,815.45,756.1,834.68,755.46,-,8.00%
82,Feb.15,856.53,814.81,858.64,812.38,-,5.04%
81,Mar.15,862.86,858.91,870.48,853.02,-,0.74%
80,Apr.15,877.83,863.05,897.77,859.12,-,1.73%
79,May.15,856.8,879.45,888.04,846.94,-,-2.40%
