"Date","Price","Open","High","Low","Change %"
"Dec 09","9.498","10.203","11.004","9.892","-2.58%"
"Nov 09","9.750","10.647","11.250","10.000","-0.03%"
"Oct 09","9.753","10.750","11.250","10.000","2.66%"
"Sep 09","9.500","10.400","11.250","10.000","0.00%"
"Aug 09","9.500","10.800","11.500","10.350","-8.65%"
"Jul 09","10.399","11.000","12.000","10.750","-2.81%"
"Jun 09","10.700","11.450","13.000","11.000","3.88%"
"May 09","10.300","13.000","13.003","10.902","-1.90%"
"Apr 09","10.500","13.000","13.000","12.000","-4.55%"
"Mar 09","11.000","12.500","15.500","12.000","-6.38%"
"Feb 09","11.750","12.750","15.500","12.500","2.17%"
"Jan 09","11.500","14.500","16.000","12.750","4.46%"
"Dec 08","11.009","14.750","18.000","13.750","10.09%"
"Nov 08","10.000","14.500","18.250","14.500","2.42%"
"Oct 08","9.764","10.800","14.500","10.430","-4.27%"
"Sep 08","10.200","10.800","13.009","10.250","1.93%"
"Aug 08","10.007","10.500","11.512","10.350","5.34%"
"Jul 08","9.500","10.250","11.250","10.200","0.53%"
"Jun 08","9.450","10.000","11.050","10.000","-1.56%"
"May 08","9.600","10.750","10.750","10.000","-1.17%"
"Apr 08","9.714","9.850","10.756","9.750","2.25%"
"Mar 08","9.500","9.600","11.003","9.156","5.56%"
"Feb 08","9.000","9.250","11.269","9.000","13.21%"
"Jan 08","7.950","8.750","10.466","8.441","-3.68%"
"Dec 07","8.254","8.600","9.010","0.000","-0.55%"
"Nov 07","8.300","7.753","9.450","7.500","8.50%"
"Oct 07","7.650","7.650","7.650","7.650","5.01%"
"Sep 07","7.285","7.285","7.285","7.285","1.95%"
