"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 15","7,603.24","7,298.33","7,761.04","7,137.55","412.91M","4.18%"
"Jun 15","7,298.33","7,507.29","7,559.24","7,099.77","288.04M","-2.78%"
"May 15","7,507.29","7,547.46","7,649.19","7,385.43","141.20M","-0.53%"
"Apr 15","7,547.46","7,076.33","7,606.49","6,963.53","370.58M","6.66%"
"Mar 15","7,076.33","7,145.43","7,227.54","6,926.99","323.71M","-0.97%"
"Feb 15","7,145.43","7,033.17","7,355.66","6,989.37","266.59M","1.60%"
"Jan 15","7,033.17","7,083.00","7,123.40","6,860.45","337.00M","-0.70%"
"Dec 14","7,083.00","6,936.54","7,083.00","6,503.12","429.61M","2.11%"
"Nov 14","6,936.54","7,034.90","7,060.77","6,909.37","212.46M","-1.40%"
"Oct 14","7,034.90","7,263.23","7,309.05","6,697.20","414.05M","-3.14%"
"Sep 14","7,263.23","7,145.71","7,271.93","7,074.94","269.14M","1.64%"
"Aug 14","7,145.71","6,918.97","7,147.34","6,877.86","242.77M","3.28%"
"Jul 14","6,918.97","7,013.74","7,114.23","6,722.65","255.54M","-1.35%"
"Jun 14","7,013.74","6,722.53","7,014.98","6,615.67","309.21M","4.33%"
"May 14","6,722.53","6,424.43","6,722.53","6,360.43","311.40M","4.64%"
"Apr 14","6,424.43","6,323.74","6,531.13","6,317.61","197.76M","1.59%"
"Mar 14","6,323.74","6,435.58","6,435.58","6,110.93","290.25M","-1.74%"
"Feb 14","6,435.58","6,378.98","6,509.37","6,284.26","225.34M","0.89%"
"Jan 14","6,378.98","6,493.79","6,610.45","6,357.99","264.06M","-1.77%"
"Dec 13","6,493.79","6,335.09","6,502.72","6,215.16","475.20M","2.51%"
"Nov 13","6,335.09","6,066.31","6,335.09","6,061.70","633.30M","4.43%"
"Oct 13","6,066.31","6,042.32","6,076.94","5,902.14","364.70M","0.40%"
"Sep 13","6,042.32","5,800.56","6,109.87","5,709.30","327.33M","4.17%"
"Aug 13","5,800.56","5,403.60","5,974.52","5,402.15","351.37M","7.35%"
"Jul 13","5,403.60","5,261.77","5,455.92","5,192.76","280.25M","2.70%"
"Jun 13","5,261.77","5,395.49","5,465.96","5,213.66","345.34M","-2.48%"
"May 13","5,395.49","5,337.55","5,539.34","5,217.69","406.50M","1.09%"
"Apr 13","5,337.55","5,637.12","5,688.10","5,226.40","295.90M","-5.31%"
"Mar 13","5,637.12","5,654.11","5,782.68","5,576.97","390.14M","-0.30%"
"Feb 13","5,654.11","5,481.29","5,680.01","5,453.06","271.44M","3.15%"
"Jan 13","5,481.29","5,149.56","5,703.59","5,149.56","387.32M","6.44%"
"Dec 12","5,149.56","4,790.91","5,157.33","4,746.45","231.40M","7.49%"
"Nov 12","4,790.91","4,925.24","4,948.11","4,732.04","199.80M","-2.73%"
"Oct 12","4,925.24","4,725.11","4,963.97","4,718.69","263.21M","4.24%"
"Sep 12","4,725.11","4,812.87","5,001.49","4,711.50","286.98M","-1.82%"
"Aug 12","4,812.87","4,693.35","4,889.27","4,647.15","283.66M","2.55%"
"Jul 12","4,693.35","4,528.16","4,783.01","4,497.33","365.58M","3.65%"
"Jun 12","4,528.16","4,567.44","4,597.85","4,278.37","368.80M","-0.86%"
"May 12","4,567.44","5,322.64","5,402.42","4,567.37","402.77M","-14.19%"
"Apr 12","5,322.64","5,372.48","5,408.74","5,186.77","202.98M","-0.93%"
"Mar 12","5,372.48","5,273.12","5,394.61","5,123.58","592.96M","1.88%"
"Feb 12","5,273.12","4,887.75","5,276.46","4,872.06","714.32M","7.88%"
"Jan 12","4,887.75","4,336.95","4,903.79","4,322.64","497.62M","12.70%"
"Dec 11","4,336.95","4,245.33","4,409.46","4,200.34","375.66M","2.16%"
"Nov 11","4,245.33","4,579.62","4,650.93","4,144.10","481.12M","-7.30%"
"Oct 11","4,579.62","4,327.13","4,729.67","4,153.05","547.98M","5.84%"
"Sep 11","4,327.13","4,804.33","4,821.08","4,143.73","596.68M","-9.93%"
"Aug 11","4,804.33","5,345.09","5,427.64","3,957.12","1.27B","-10.12%"
"Jul 11","5,345.09","5,508.70","5,679.93","5,337.02","963.13M","-2.97%"
"Jun 11","5,508.70","5,468.66","5,638.77","5,410.02","982.83M","0.73%"
"May 11","5,468.66","5,921.53","5,921.53","5,386.95","719.74M","-7.65%"
"Apr 11","5,921.53","5,928.64","6,098.96","5,824.85","487.96M","-0.12%"
"Mar 11","5,928.64","5,864.43","6,077.88","5,642.50","390.96M","1.09%"
"Feb 11","5,864.43","5,672.66","5,864.43","5,588.31","168.61M","3.38%"
"Jan 11","5,672.66","5,268.61","5,901.74","5,268.61","199.39M","7.67%"
"Dec 10","5,268.61","5,093.95","5,269.40","5,083.43","98.94M","3.43%"
"Nov 10","5,093.95","5,282.41","5,282.41","5,034.66","119.11M","-3.57%"
"Oct 10","5,282.41","5,336.25","5,336.25","5,187.39","84.43M","-1.01%"
"Sep 10","5,336.25","5,072.95","5,336.25","5,039.05","86.81M","5.19%"
"Aug 10","5,072.95","5,074.07","5,297.78","5,034.95","122.85M","-0.02%"
"Jul 10","5,074.07","4,743.86","5,214.18","4,675.57","121.05M","6.96%"
"Jun 10","4,743.86","4,935.05","5,307.53","4,606.23","188.38M","-3.87%"
"May 10","4,935.05","5,727.85","5,745.73","4,314.45","441.53M","-13.84%"
"Apr 10","5,727.85","5,965.35","6,154.97","5,601.30","249.77M","-3.98%"
"Mar 10","5,965.35","5,328.45","6,025.46","5,328.45","919.23M","11.95%"
"Feb 10","5,328.45","5,065.43","5,394.45","4,887.97","607.78M","5.19%"
"Jan 10","5,065.43","4,690.57","5,289.46","4,690.57","309.97M","7.99%"
"Dec 09","4,690.57","4,841.58","4,945.26","4,576.20","357.83M","-3.12%"
"Nov 09","4,841.58","4,469.06","5,009.59","4,364.03","328.40M","8.34%"
"Oct 09","4,469.06","4,397.40","4,711.27","4,111.30","627.63M","1.63%"
"Sep 09","4,397.40","4,249.22","4,461.37","4,025.43","808.55M","3.49%"
"Aug 09","4,249.22","3,920.30","4,433.28","3,904.72","503.96M","8.39%"
"Jul 09","3,920.30","3,434.43","4,097.84","3,298.05","326.20M","14.15%"
"Jun 09","3,434.43","3,341.53","3,696.60","3,261.02","629.51M","2.78%"
"May 09","3,341.53","3,048.92","3,417.83","2,811.31","559.84M","9.60%"
"Apr 09","3,048.92","2,367.47","3,052.98","2,351.28","585.24M","28.78%"
"Mar 09","2,367.47","1,899.14","2,578.07","1,857.76","788.37M","24.66%"
"Feb 09","1,899.14","2,253.02","2,317.73","1,833.18","405.26M","-15.71%"
"Jan 09","2,253.02","2,901.10","3,128.89","2,209.53","503.14M","-22.34%"
"Dec 08","2,901.10","2,980.39","2,980.39","2,828.62","226.34M","-2.66%"
"Nov 08","2,980.39","2,866.35","3,380.33","2,848.81","806.22M","3.98%"
"Oct 08","2,866.35","4,258.04","4,430.00","2,545.36","771.38M","-32.68%"
"Sep 08","4,258.04","5,420.87","5,669.97","4,133.25","103.25M","-21.45%"
"Aug 08","5,420.87","5,948.77","6,416.01","5,418.76","-","-8.87%"
"Jul 08","5,948.77","6,502.65","6,523.90","5,328.54","-","-8.52%"
"Jun 08","6,502.65","7,805.21","7,947.16","6,288.73","-","-16.69%"
"May 08","7,805.21","7,020.48","7,823.26","6,811.60","-","11.18%"
"Apr 08","7,020.48","6,920.01","7,367.58","6,701.28","-","1.45%"
"Mar 08","6,920.01","7,444.05","7,533.79","6,738.83","-","-7.04%"
"Feb 08","7,444.05","7,494.53","7,925.10","6,991.17","-","-0.67%"
"Jan 08","7,494.53","9,825.38","9,865.36","7,223.84","-","-23.72%"
"Dec 07","9,825.38","8,893.36","9,825.38","8,893.36","-","10.48%"
"Nov 07","8,893.36","9,950.13","9,962.99","8,461.84","-","-10.62%"
"Oct 07","9,950.13","9,635.38","10,514.28","9,618.20","-","3.27%"
"Sep 07","9,635.38","10,262.82","10,262.82","9,467.48","-","-6.11%"
"Aug 07","10,262.82","10,197.47","10,501.99","9,217.89","-","0.64%"
"Jul 07","10,197.47","9,665.61","10,857.71","9,589.38","-","5.50%"
"Jun 07","9,665.61","8,663.55","9,665.61","8,562.14","-","11.57%"
"May 07","8,663.55","8,780.96","9,091.68","8,378.16","-","-1.34%"
"Apr 07","8,780.96","8,547.46","8,858.70","8,478.56","-","2.73%"
"Mar 07","8,547.46","8,749.46","8,859.33","7,992.30","-","-2.31%"
"Feb 07","8,749.46","8,755.03","9,113.74","8,638.40","-","-0.06%"
"Jan 07","8,755.03","8,050.18","8,759.94","8,045.78","-","8.76%"
"Dec 06","8,050.18","8,047.98","8,194.31","7,850.33","-","0.03%"
"Nov 06","8,047.98","8,464.54","8,545.34","7,735.78","-","-4.92%"
"Oct 06","8,464.54","7,952.84","8,540.17","7,927.27","-","6.43%"
"Sep 06","7,952.84","7,684.61","7,983.80","7,609.63","-","3.49%"
"Aug 06","7,684.61","7,701.87","7,869.91","7,533.96","-","-0.22%"
"Jul 06","7,701.87","7,056.23","7,892.16","7,047.60","-","9.15%"
"Jun 06","7,056.23","7,058.94","7,134.57","6,400.71","-","-0.04%"
"May 06","7,058.94","7,550.88","7,565.79","6,602.18","-","-6.52%"
"Apr 06","7,550.88","7,499.25","7,617.59","7,144.87","-","0.69%"
"Mar 06","7,499.25","8,192.51","8,201.03","7,344.09","-","-8.46%"
"Feb 06","8,192.51","8,096.85","8,534.34","7,816.04","-","1.18%"
"Jan 06","8,096.85","6,586.13","8,132.01","6,579.03","-","22.94%"
"Dec 05","6,586.13","6,776.56","6,975.91","6,536.86","-","-2.81%"
"Nov 05","6,776.56","6,222.30","6,904.65","6,138.33","-","8.91%"
"Oct 05","6,222.30","6,243.08","6,701.03","6,181.88","-","-0.33%"
"Sep 05","6,243.08","5,550.74","6,364.23","5,500.95","-","12.47%"
"Aug 05","5,550.74","5,492.60","5,876.79","5,379.26","-","1.06%"
"Jul 05","5,492.60","4,852.90","5,523.80","4,823.76","-","13.18%"
"Jun 05","4,852.90","4,712.89","4,979.42","4,697.50","-","2.97%"
"May 05","4,712.89","4,794.40","5,217.03","4,482.17","-","-1.70%"
"Apr 05","4,794.40","5,181.13","5,508.96","4,618.03","-","-7.46%"
"Mar 05","5,181.13","6,225.85","6,411.63","4,293.91","7.89M","-16.74%"
"Feb 05","6,223.03","5,645.13","6,584.46","5,049.33","770.08M","10.24%"
"Jan 05","5,645.13","4,364.71","5,997.69","4,363.62","1.72B","29.19%"
"Dec 04","4,369.60","3,957.53","4,436.54","3,956.54","840.14M","10.41%"
"Nov 04","3,957.53","3,894.60","4,036.94","3,759.93","203.92M","1.62%"
"Oct 04","3,894.60","3,221.78","3,902.00","3,221.78","578.90M","20.88%"
"Sep 04","3,221.78","3,157.96","3,326.36","3,136.03","96.43M","2.02%"
"Aug 04","3,157.96","3,298.98","3,306.47","3,148.88","79.87M","-4.27%"
"Jul 04","3,298.98","3,076.06","3,340.68","3,064.66","161.65M","7.25%"
"Jun 04","3,076.06","2,871.47","3,087.04","2,857.27","100.64M","7.12%"
"May 04","2,871.47","2,706.80","3,015.81","2,644.53","143.18M","6.08%"
"Apr 04","2,706.80","2,972.20","3,049.88","2,691.59","149.56M","-8.93%"
"Mar 04","2,972.20","2,581.42","3,026.99","2,569.98","146.30M","15.14%"
"Feb 04","2,581.42","2,391.64","2,739.67","2,386.23","161.13M","7.94%"
"Jan 04","2,391.64","2,171.88","2,447.12","2,171.88","148.64M","10.12%"
"Dec 03","2,171.88","2,043.76","2,171.88","2,022.20","118.55M","6.27%"
"Nov 03","2,043.76","1,909.87","2,043.76","1,903.40","144.73M","7.01%"
"Oct 03","1,909.87","1,875.95","1,932.37","1,862.42","113.83M","1.81%"
"Sep 03","1,875.95","1,870.84","1,918.84","1,793.24","128.83M","0.27%"
"Aug 03","1,870.84","1,821.66","1,887.29","1,798.25","52.40M","2.70%"
"Jul 03","1,821.66","1,812.43","1,879.48","1,803.60","100.45M","0.51%"
"Jun 03","1,812.43","1,748.29","1,893.72","1,732.37","188.26M","3.67%"
"May 03","1,748.29","1,758.38","1,787.07","1,693.20","86.57M","-0.57%"
"Apr 03","1,758.38","1,677.25","1,785.34","1,634.12","105.71M","4.84%"
"Mar 03","1,677.25","1,744.39","1,746.72","1,619.55","61.41M","-3.85%"
"Feb 03","1,744.39","1,774.56","1,795.75","1,653.27","136.37M","-1.70%"
"Jan 03","1,774.56","1,708.36","1,874.35","1,682.96","95.82M","6.96%"
"Dec 02","1,659.06","1,560.60","1,659.06","1,495.40","61.88M","6.31%"
"Nov 02","1,560.60","1,655.26","1,708.16","1,504.17","106.58M","-5.72%"
"Oct 02","1,655.26","1,638.57","1,727.15","1,557.33","232.95M","1.02%"
"Sep 02","1,638.57","1,393.32","1,672.58","1,389.46","201.93M","17.60%"
"Aug 02","1,393.32","1,253.96","1,394.52","1,236.98","91.64M","11.11%"
"Jul 02","1,253.96","1,241.19","1,260.40","1,161.74","52.54M","1.03%"
"Jun 02","1,241.19","1,260.56","1,308.72","1,218.69","72.89M","-1.54%"
