"Date","Price","Open","High","Low","Change %"
"Feb 16","0.300","0.300","0.300","0.300","0.00%"
"Jan 16","0.300","0.300","0.300","0.300","-11.76%"
"Dec 15","0.340","0.340","0.340","0.340","-12.82%"
"Nov 15","0.390","0.390","0.390","0.390","-22.00%"
"Oct 15","0.500","0.500","0.500","0.500","42.86%"
"Sep 15","0.350","0.350","0.350","0.350","-29.29%"
"Aug 15","0.495","0.495","0.495","0.495","-0.20%"
"Jul 15","0.496","0.496","0.496","0.496","0.00%"
"Jun 15","0.496","0.496","0.496","0.496","25.25%"
"May 15","0.396","0.396","0.396","0.396","18.92%"
"Apr 15","0.333","0.333","0.333","0.333","35.37%"
"Mar 15","0.246","0.246","0.246","0.246","-37.88%"
"Feb 15","0.396","0.396","0.396","0.396","-27.74%"
"Jan 15","0.548","0.548","0.548","0.548","-26.54%"
"Dec 14","0.746","0.746","0.746","0.746","-6.52%"
"Nov 14","0.798","0.798","0.798","0.798","-20.04%"
"Oct 14","0.998","0.998","0.998","0.998","-9.02%"
"Sep 14","1.097","1.097","1.097","1.097","-15.49%"
"Aug 14","1.298","1.298","1.298","1.298","0.78%"
"Jul 14","1.288","1.288","1.288","1.288","-7.60%"
"Jun 14","1.394","1.394","1.394","1.394","-22.34%"
"May 14","1.795","1.795","1.795","1.795","0.22%"
"Apr 14","1.791","1.791","1.791","1.791","4.25%"
"Mar 14","1.718","1.718","1.718","1.718","23.33%"
"Feb 14","1.393","1.393","1.393","1.393","-3.53%"
"Jan 14","1.444","1.444","1.444","1.444","-14.61%"
"Dec 13","1.691","1.691","1.691","1.691","-5.79%"
"Nov 13","1.795","1.795","1.795","1.795","12.61%"
"Oct 13","1.594","1.594","1.594","1.594","0.00%"
"Sep 13","1.594","1.594","1.594","1.594","-6.01%"
"Aug 13","1.696","1.696","1.696","1.696","-5.36%"
"Jul 13","1.792","1.792","1.792","1.792","5.54%"
"Jun 13","1.698","1.698","1.698","1.698","-18.37%"
"May 13","2.080","2.080","2.080","2.080","9.99%"
"Apr 13","1.891","1.891","1.891","1.891","-13.77%"
"Mar 13","2.193","2.193","2.193","2.193","9.98%"
"Feb 13","1.994","1.994","1.994","1.994","17.29%"
"Jan 13","1.700","1.700","1.700","1.700","0.18%"
"Dec 12","1.697","1.697","1.697","1.697","-0.18%"
"Nov 12","1.700","1.700","1.700","1.700","-14.96%"
"Oct 12","1.999","1.999","1.999","1.999","-13.28%"
"Sep 12","2.305","2.305","2.305","2.305","-7.98%"
"Aug 12","2.505","2.505","2.505","2.505","-19.27%"
"Jul 12","3.103","3.103","3.103","3.103","-5.94%"
"Jun 12","3.299","3.299","3.299","3.299","-5.88%"
"May 12","3.505","3.505","3.505","3.505","-7.71%"
"Apr 12","3.798","3.798","3.798","3.798","-13.68%"
"Mar 12","4.400","4.400","4.400","4.400","-4.35%"
"Feb 12","4.600","4.600","4.600","4.600","-6.12%"
"Jan 12","4.900","4.900","4.900","4.900","-9.24%"
"Dec 11","5.399","5.399","5.399","5.399","16.11%"
"Nov 11","4.650","4.650","4.650","4.650","34.78%"
"Oct 11","3.450","3.450","3.450","3.450","1.47%"
"Sep 11","3.400","3.400","3.400","3.400","-1.25%"
"Aug 11","3.443","3.443","3.443","3.443","1.29%"
"Jul 11","3.399","3.399","3.399","3.399","-6.93%"
"Jun 11","3.652","3.652","3.652","3.652","7.41%"
"May 11","3.400","3.400","3.400","3.400","-6.85%"
"Apr 11","3.650","3.650","3.650","3.650","5.80%"
"Mar 11","3.450","3.450","3.450","3.450","1.53%"
"Feb 11","3.398","3.398","3.398","3.398","-2.83%"
"Jan 11","3.497","3.497","3.497","3.497","2.82%"
"Dec 10","3.401","3.401","3.401","3.401","1.55%"
"Nov 10","3.349","3.349","3.349","3.349","-8.30%"
"Oct 10","3.652","3.652","3.652","3.652","-37.47%"
"Sep 10","5.840","5.840","5.840","5.840","34.25%"
"Aug 10","4.350","4.350","4.350","4.350","-2.20%"
"Jul 10","4.448","4.448","4.448","4.448","-11.04%"
"Jun 10","5.000","5.000","5.000","5.000","7.55%"
"May 10","4.649","4.649","4.649","4.649","16.23%"
"Apr 10","4.000","4.000","4.000","4.000","2.62%"
"Mar 10","3.898","3.898","3.898","3.898","-19.60%"
"Feb 10","4.848","4.848","4.848","4.848","-25.42%"
"Jan 10","6.500","6.500","6.500","6.500","1.53%"
"Dec 09","6.402","6.402","6.402","6.402","-17.94%"
"Nov 09","7.802","7.802","7.802","7.802","-17.00%"
"Oct 09","9.400","9.400","9.400","9.400","-6.00%"
"Sep 09","10.000","10.000","10.000","10.000","1.00%"
"Aug 09","9.901","9.901","9.901","9.901","-1.00%"
"Jul 09","10.001","10.001","10.001","10.001","0.01%"
"Jun 09","10.000","10.000","10.000","10.000","-4.76%"
"May 09","10.500","10.500","10.500","10.500","2.46%"
"Apr 09","10.248","10.248","10.248","10.248","-0.02%"
"Mar 09","10.250","10.250","10.250","10.250","2.50%"
"Feb 09","10.000","10.000","10.000","10.000","0.00%"
"Jan 09","10.000","10.000","10.000","10.000","26.97%"
"Dec 08","7.876","7.876","7.876","7.876","-1.55%"
"Nov 08","8.000","8.000","8.000","8.000","0.00%"
"Oct 08","8.000","8.000","8.000","8.000","55.25%"
"Sep 08","5.153","5.153","5.153","5.153","5.62%"
"Aug 08","4.879","4.879","4.879","4.879","-5.10%"
"Jul 08","5.141","5.141","5.141","5.141","5.33%"
"Jun 08","4.881","4.881","4.881","4.881","5.40%"
"May 08","4.631","4.631","4.631","4.631","4.09%"
"Apr 08","4.449","4.449","4.449","4.449","-6.42%"
"Mar 08","4.754","4.754","4.754","4.754","-1.92%"
"Feb 08","4.847","4.847","4.847","4.847","-2.08%"
"Jan 08","4.950","4.950","4.950","4.950","-4.07%"
"Dec 07","5.160","5.160","5.160","5.160","5.03%"
"Nov 07","4.913","4.913","4.913","4.913","4.04%"
"Oct 07","4.722","4.722","4.722","4.722","-2.05%"
"Sep 07","4.821","4.821","4.821","4.821","2.14%"
"Aug 07","4.720","4.720","4.720","4.720","-1.30%"
"Jul 07","4.782","4.782","4.782","4.782","0.61%"
