Counter,Date,Price,Open,High,Low,Vol.,Change %
184,Jan.07,"1,339.46","1,339.46","1,419.34","1,235.09",-,9.42%
183,Feb.07,"1,304.78","1,304.78","1,349.20","1,291.79",-,-2.59%
182,Mar.07,"1,278.19","1,278.19","1,311.12","1,254.01",-,-2.04%
181,Apr.07,"1,273.59","1,273.59","1,305.03","1,261.73",-,-0.36%
180,May.07,"1,335.53","1,335.53","1,346.39","1,220.13",-,4.86%
179,Jun.07,"1,411.61","1,411.61","1,413.03","1,332.39",-,5.70%
178,Jul.07,"1,569.70","1,569.70","1,573.90","1,411.77",-,11.20%
177,Aug.07,"1,606.46","1,606.46","1,617.83","1,531.66",-,2.34%
176,Sep.07,"1,849.69","1,849.69","1,849.69","1,600.86",-,15.14%
175,Oct.07,"1,934.45","1,934.45","1,981.80","1,851.62",-,4.58%
174,Nov.07,"1,764.49","1,764.49","1,933.77","1,632.33",-,-8.79%
173,Dec.07,"1,767.88","1,767.88","1,793.61","1,563.93",-,0.19%
172,Jan.08,"1,403.30","1,403.30","1,767.88","1,233.14",-,-20.62%
171,Feb.08,"1,429.56","1,429.56","1,450.79","1,361.87",-,1.87%
170,Mar.08,"1,254.99","1,254.99","1,412.66","1,139.96",-,-12.21%
169,Apr.08,"1,138.48","1,138.48","1,236.89","1,110.76",-,-9.28%
168,May.08,"1,260.00","1,260.00","1,296.80","1,114.28",-,10.67%
167,Jun.08,"1,153.90","1,153.90","1,249.87","1,116.44",-,-8.42%
166,Jul.08,"1,014.33","1,014.33","1,153.90",976.11,-,-12.10%
165,Aug.08,"1,027.99","1,027.99","1,042.35",988.94,-,1.35%
164,Sep.08,792.48,792.48,"1,027.99",780.83,-,-22.91%
163,Oct.08,492.18,492.18,821.48,483.52,-,-37.89%
162,Nov.08,363.27,363.27,503.52,315.56,-,-26.19%
161,Dec.08,358.66,358.66,378.36,344.52,-,-1.27%
160,Jan.09,286.79,286.79,361.32,281.9,-,-20.04%
159,Feb.09,264.71,264.71,286.79,257.65,-,-7.70%
158,Mar.09,278.28,278.28,289.46,261.33,-,5.13%
157,Apr.09,358.51,358.51,372.5,278.08,-,28.83%
156,May.09,379.55,379.55,397.02,358.51,-,5.87%
155,Jun.09,356.73,356.73,386.89,343.84,-,-6.01%
154,Jul.09,356.01,356.01,362.81,344.97,-,-0.20%
153,Aug.09,454,454,463.54,354.56,-,27.52%
152,Sep.09,480.14,480.14,514.67,436.17,-,5.76%
151,Oct.09,457.61,457.61,488.16,449.87,-,-4.69%
150,Nov.09,451.76,451.76,471.83,428.66,-,-1.28%
149,Dec.09,427.27,427.27,455.53,399.64,-,-5.42%
148,Jan.10,435.5,435.5,439.44,420.28,-,1.93%
147,Feb.10,423.78,423.78,445.75,423.42,-,-2.69%
146,Mar.10,421.44,421.44,430.04,416.94,-,-0.55%
145,Apr.10,416.96,416.96,427.88,415.32,-,-1.06%
144,May.10,381.68,381.68,417.14,363.48,-,-8.46%
143,Jun.10,373.02,373.02,382.56,362.27,-,-2.27%
142,Jul.10,370.01,370.01,373.15,357.93,-,-0.81%
141,Aug.10,388.95,388.95,397.9,369.05,-,5.12%
140,Sep.10,387.12,387.12,399.68,383.23,-,-0.47%
